Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,CEps
WorkFlow,0.00122855365908415,,,,,,,
WorkFlow,-2.11351384476236,955232.677051544,,,,,,
WorkFlow,-11.6030358495754,2885748.75935197,8902577.33864898,,,,,
WorkFlow,0.0324103922131077,-925.410961222471,-2626.23225209626,11.4517472343721,,,,
WorkFlow,0.00256398298909669,-121.337371561877,-322.869781078381,1.41721804262404,0.247225406991807,,,
WorkFlow,-0.00288541661669892,-203.497885935563,-404.647254854675,2.6191350480822,1.04921295844976,8.11521648675945,,
WorkFlow,0.00412880059683848,-248.625036126204,-620.19087628739,3.31571922531321,0.667440541984506,3.39654450315726,1.89478270535817,
WorkFlow,0.000417953527450823,-87.8864926120567,-487.867697313307,-3.44781411833792,-0.645296948133607,-3.0591416058981,-1.81320216889722,3.73117595401443
