Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,CEps
WorkFlow,1,,,,,,,
WorkFlow,-0.206982250486864,1,,,,,,
WorkFlow,-0.217355252569941,0.974210607464418,1,,,,,
WorkFlow,-0.0966613209984539,-0.12982406331601,-0.101512793502691,1,,,,
WorkFlow,-0.132232198519825,-0.0825760363179201,-0.0397810797264063,0.928540277331883,1,,,
WorkFlow,0.000230933905605387,0.362511669082692,0.353804030571758,-0.570315705821376,-0.337510438251012,1,,
WorkFlow,-0.219904567862594,0.082812283478273,0.108859215362279,0.771900852319391,0.884259310182564,0.0477689163773688,1,
WorkFlow,-0.187603662256779,0.645375421354139,0.608687203677527,0.106914906045136,0.0770230628640686,0.0453839909051475,0.107605001744441,1
