
 WorkFlow
Start 2024-05-14 09:25:18  Run : 16 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa
    1 7885.261   0.769786 1240.81 1206.28 16.7136 1.18233
    2 7868.945   0.688202 1227.00 1220.85 16.4498 1.19473
    3 7853.013   0.596791 1211.51 1248.06 15.5966 1.21854
    4 7850.277   0.459763 1213.63 1326.13 13.4075 1.29170
    5 7840.483   0.534274 1195.22 1343.68 14.2621 1.27701
    6 7835.833   0.534994 1211.93 1377.54 13.8392 1.26973
    7 7824.450   0.530384 1289.25 1499.46 13.1606 1.22855
    8 7823.728   0.528729 1281.70 1526.62 13.3692 1.21641
    9 7823.689   0.526088 1300.79 1517.05 13.5026 1.21110
   10 7823.634   0.524448 1286.87 1508.13 13.5621 1.20383
   11 7823.608   0.525728 1289.20 1510.01 13.5105 1.20800
   12 7823.585   0.526367 1284.96 1508.02 13.4855 1.21072
   13 7823.571   0.526679 1285.03 1504.79 13.5251 1.21331
   14 7823.565   0.526533 1285.14 1497.27 13.5691 1.21430
   15 7823.565   0.526523 1285.12 1497.10 13.5699 1.21430
   16 7823.562   0.526123 1283.63 1492.89 13.5877 1.21709
   17 7823.554   0.526335 1280.85 1493.33 13.5702 1.22471
   18 7823.549   0.526372 1279.98 1487.23 13.5705 1.22507
   19 7823.535   0.526849 1272.54 1446.37 13.5746 1.22577
   20 7823.533   0.526949 1266.14 1425.00 13.5827 1.22835
   21 7823.527   0.526725 1259.82 1410.31 13.5911 1.22969
   22 7823.526   0.526352 1257.62 1408.82 13.5929 1.22907
   23 7823.526   0.526308 1257.71 1409.46 13.5921 1.22860
   24 7823.526   0.526300 1257.76 1409.69 13.5917 1.22852
   25 7823.524   0.526247 1257.73 1409.59 13.5917 1.22830
   26 7823.523   0.526214 1257.67 1409.50 13.5911 1.22817
   27 7823.523   0.526214 1257.67 1409.50 13.5911 1.22817
