"Scenario","Iter","Parameter","Value"
"WorkFlow",19,"tvVmax",1573.5
"WorkFlow",19,"tvKm",2661.65
"WorkFlow",19,"tvV",13.2249
"WorkFlow",19,"tvKa",1.19627
"WorkFlow",19,"dVdWT",1.04514
"WorkFlow",20,"-2LL",7806.79708
"WorkFlow",20,"CMultStdev",0.519642
"WorkFlow",20,"tvVmax",1576.03
"WorkFlow",20,"tvKm",2665.35
"WorkFlow",20,"tvV",13.1958
"WorkFlow",20,"tvKa",1.19395
"WorkFlow",20,"dVdWT",1.0435
"WorkFlow",21,"-2LL",7806.78512
"WorkFlow",21,"CMultStdev",0.520488
"WorkFlow",21,"tvVmax",1577.67
"WorkFlow",21,"tvKm",2668.63
"WorkFlow",21,"tvV",13.2161
"WorkFlow",21,"tvKa",1.19751
"WorkFlow",21,"dVdWT",1.04829
"WorkFlow",22,"-2LL",7806.77078
"WorkFlow",22,"CMultStdev",0.522029
"WorkFlow",22,"tvVmax",1584.56
"WorkFlow",22,"tvKm",2687.67
"WorkFlow",22,"tvV",13.2059
"WorkFlow",22,"tvKa",1.20087
"WorkFlow",22,"dVdWT",1.05866
"WorkFlow",23,"-2LL",7806.76438
"WorkFlow",23,"CMultStdev",0.521798
"WorkFlow",23,"tvVmax",1586.08
"WorkFlow",23,"tvKm",2693.42
"WorkFlow",23,"tvV",13.2216
"WorkFlow",23,"tvKa",1.20292
"WorkFlow",23,"dVdWT",1.06745
"WorkFlow",24,"-2LL",7806.75332
"WorkFlow",24,"CMultStdev",0.521322
"WorkFlow",24,"tvVmax",1589.69
"WorkFlow",24,"tvKm",2710.17
"WorkFlow",24,"tvV",13.2206
"WorkFlow",24,"tvKa",1.20268
"WorkFlow",24,"dVdWT",1.07524
"WorkFlow",25,"-2LL",7806.73946
"WorkFlow",25,"CMultStdev",0.520732
"WorkFlow",25,"tvVmax",1594.47
"WorkFlow",25,"tvKm",2736.96
"WorkFlow",25,"tvV",13.2088
"WorkFlow",25,"tvKa",1.19974
"WorkFlow",25,"dVdWT",1.07624
"WorkFlow",26,"-2LL",7806.73256
"WorkFlow",26,"CMultStdev",0.520669
"WorkFlow",26,"tvVmax",1597.86
"WorkFlow",26,"tvKm",2757.31
"WorkFlow",26,"tvV",13.1939
"WorkFlow",26,"tvKa",1.19721
"WorkFlow",26,"dVdWT",1.07063
"WorkFlow",27,"-2LL",7806.7301
"WorkFlow",27,"CMultStdev",0.520853
"WorkFlow",27,"tvVmax",1598.9
"WorkFlow",27,"tvKm",2764.21
"WorkFlow",27,"tvV",13.1881
"WorkFlow",27,"tvKa",1.19604
"WorkFlow",27,"dVdWT",1.06561
"WorkFlow",28,"-2LL",7806.72388
"WorkFlow",28,"CMultStdev",0.521228
"WorkFlow",28,"tvVmax",1601.54
"WorkFlow",28,"tvKm",2776.67
"WorkFlow",28,"tvV",13.1785
"WorkFlow",28,"tvKa",1.19424
"WorkFlow",28,"dVdWT",1.05931
"WorkFlow",29,"-2LL",7806.71432
"WorkFlow",29,"CMultStdev",0.52174
"WorkFlow",29,"tvVmax",1608.46
"WorkFlow",29,"tvKm",2803.02
"WorkFlow",29,"tvV",13.1656
"WorkFlow",29,"tvKa",1.19198
"WorkFlow",29,"dVdWT",1.05438
"WorkFlow",30,"-2LL",7806.70322
"WorkFlow",30,"CMultStdev",0.522152
"WorkFlow",30,"tvVmax",1620.19
"WorkFlow",30,"tvKm",2840.89
"WorkFlow",30,"tvV",13.1552
"WorkFlow",30,"tvKa",1.19031
"WorkFlow",30,"dVdWT",1.05613
"WorkFlow",31,"-2LL",7806.69602
"WorkFlow",31,"CMultStdev",0.522366
"WorkFlow",31,"tvVmax",1635.15
"WorkFlow",31,"tvKm",2884.61
"WorkFlow",31,"tvV",13.146
"WorkFlow",31,"tvKa",1.18884
"WorkFlow",31,"dVdWT",1.06123
"WorkFlow",32,"-2LL",7806.69326
"WorkFlow",32,"CMultStdev",0.522018
"WorkFlow",32,"tvVmax",1642.69
"WorkFlow",32,"tvKm",2906.62
"WorkFlow",32,"tvV",13.1576
"WorkFlow",32,"tvKa",1.18985
"WorkFlow",32,"dVdWT",1.06894
"WorkFlow",33,"-2LL",7806.68894
"WorkFlow",33,"CMultStdev",0.52154
"WorkFlow",33,"tvVmax",1648.45
"WorkFlow",33,"tvKm",2925.04
"WorkFlow",33,"tvV",13.1692
"WorkFlow",33,"tvKa",1.19147
"WorkFlow",33,"dVdWT",1.07819
"WorkFlow",34,"-2LL",7806.68244
"WorkFlow",34,"CMultStdev",0.521138
"WorkFlow",34,"tvVmax",1649.96
"WorkFlow",34,"tvKm",2935.35
"WorkFlow",34,"tvV",13.1763
"WorkFlow",34,"tvKa",1.19256
"WorkFlow",34,"dVdWT",1.0813
"WorkFlow",35,"-2LL",7806.67658
"WorkFlow",35,"CMultStdev",0.520866
"WorkFlow",35,"tvVmax",1652.99
"WorkFlow",35,"tvKm",2952.03
"WorkFlow",35,"tvV",13.1714
"WorkFlow",35,"tvKa",1.19192
"WorkFlow",35,"dVdWT",1.07828
"WorkFlow",36,"-2LL",7806.67136
"WorkFlow",36,"CMultStdev",0.520768
"WorkFlow",36,"tvVmax",1652.97
