
 WorkFlow
Start 2024-05-14 09:23:10  Run : 21 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa    dVdWT
    1 7877.928   0.768472 1202.47 1229.53 16.7481 1.18558 1.098370
    2 7861.121   0.687584 1210.43 1246.18 16.4301 1.20535 1.091300
    3 7850.031   0.630085 1198.31 1267.97 15.9417 1.21938 1.076680
    4 7836.298   0.536879 1217.04 1316.99 14.5892 1.28543 1.053490
    5 7830.438   0.497661 1195.23 1435.35 13.9097 1.33071 1.026250
    6 7817.638   0.496280 1244.71 1629.03 13.2481 1.35113 0.986589
    7 7810.993   0.502372 1295.51 1840.04 13.2043 1.35706 0.992677
    8 7809.765   0.517262 1455.54 1945.03 13.2950 1.27464 1.033860
    9 7808.286   0.530323 1390.71 1935.25 13.6205 1.21491 1.048400
   10 7808.017   0.523252 1385.59 1930.24 13.2828 1.21395 1.045440
   11 7807.929   0.522118 1396.22 1957.55 13.3074 1.21673 1.054340
   12 7807.660   0.516981 1460.76 2167.14 13.4419 1.22305 1.126200
   13 7807.353   0.518722 1487.30 2277.34 13.3391 1.22573 1.124040
   14 7807.028   0.522566 1510.01 2404.48 13.1816 1.20110 1.062330
   15 7806.942   0.522259 1544.24 2527.46 13.1400 1.18514 1.044800
   16 7806.879   0.521280 1583.73 2663.61 13.1333 1.17899 1.030790
   17 7806.879   0.521266 1584.41 2665.82 13.1331 1.17888 1.030570
   18 7806.831   0.519793 1582.51 2673.33 13.1707 1.18874 1.030080
   19 7806.802   0.519227 1573.50 2661.65 13.2249 1.19627 1.045140
   20 7806.797   0.519642 1576.03 2665.35 13.1958 1.19395 1.043500
   21 7806.785   0.520488 1577.67 2668.63 13.2161 1.19751 1.048290
   22 7806.771   0.522029 1584.56 2687.67 13.2059 1.20087 1.058660
   23 7806.764   0.521798 1586.08 2693.42 13.2216 1.20292 1.067450
   24 7806.753   0.521322 1589.69 2710.17 13.2206 1.20268 1.075240
   25 7806.739   0.520732 1594.47 2736.96 13.2088 1.19974 1.076240
   26 7806.733   0.520669 1597.86 2757.31 13.1939 1.19721 1.070630
   27 7806.730   0.520853 1598.90 2764.21 13.1881 1.19604 1.065610
   28 7806.724   0.521228 1601.54 2776.67 13.1785 1.19424 1.059310
   29 7806.714   0.521740 1608.46 2803.02 13.1656 1.19198 1.054380
   30 7806.703   0.522152 1620.19 2840.89 13.1552 1.19031 1.056130
   31 7806.696   0.522366 1635.15 2884.61 13.1460 1.18884 1.061230
   32 7806.693   0.522018 1642.69 2906.62 13.1576 1.18985 1.068940
   33 7806.689   0.521540 1648.45 2925.04 13.1692 1.19147 1.078190
   34 7806.682   0.521138 1649.96 2935.35 13.1763 1.19256 1.081300
   35 7806.677   0.520866 1652.99 2952.03 13.1714 1.19192 1.078280
   36 7806.671   0.520768 1652.97 2964.10 13.1664 1.19090 1.068860
   37 7806.670   0.521004 1649.24 2958.26 13.1638 1.19017 1.063770
