"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",7474.63
"WorkFlow",1,"CMultStdev",0.720124
"WorkFlow",1,"tvVmax",1317.72
"WorkFlow",1,"tvKm",1170.1
"WorkFlow",1,"tvV",16.6346
"WorkFlow",1,"tvKa",1.17301
"WorkFlow",1,"K12",2.2187
"WorkFlow",1,"K21",2.82015
"WorkFlow",2,"-2LL",7457.5791
"WorkFlow",2,"CMultStdev",0.646167
"WorkFlow",2,"tvVmax",1337.31
"WorkFlow",2,"tvKm",1177.58
"WorkFlow",2,"tvV",16.3244
"WorkFlow",2,"tvKa",1.17848
"WorkFlow",2,"K12",2.17575
"WorkFlow",2,"K21",2.87149
"WorkFlow",3,"-2LL",7444.19736
"WorkFlow",3,"CMultStdev",0.583549
"WorkFlow",3,"tvVmax",1340.07
"WorkFlow",3,"tvKm",1177.28
"WorkFlow",3,"tvV",15.6932
"WorkFlow",3,"tvKa",1.17406
"WorkFlow",3,"K12",2.08643
"WorkFlow",3,"K21",2.88115
"WorkFlow",4,"-2LL",7439.98638
"WorkFlow",4,"CMultStdev",0.425758
"WorkFlow",4,"tvVmax",1383.54
"WorkFlow",4,"tvKm",1249.32
"WorkFlow",4,"tvV",13.1345
"WorkFlow",4,"tvKa",1.23167
"WorkFlow",4,"K12",1.80464
"WorkFlow",4,"K21",2.98742
"WorkFlow",5,"-2LL",7427.81468
"WorkFlow",5,"CMultStdev",0.514876
"WorkFlow",5,"tvVmax",1377.48
"WorkFlow",5,"tvKm",1272.08
"WorkFlow",5,"tvV",14.093
"WorkFlow",5,"tvKa",1.20957
"WorkFlow",5,"K12",1.90173
"WorkFlow",5,"K21",2.98929
"WorkFlow",6,"-2LL",7423.46994
"WorkFlow",6,"CMultStdev",0.502823
"WorkFlow",6,"tvVmax",1368.61
"WorkFlow",6,"tvKm",1339.8
"WorkFlow",6,"tvV",13.9726
"WorkFlow",6,"tvKa",1.20768
"WorkFlow",6,"K12",1.896
"WorkFlow",6,"K21",2.97405
"WorkFlow",7,"-2LL",7415.57938
"WorkFlow",7,"CMultStdev",0.450879
"WorkFlow",7,"tvVmax",1539.16
"WorkFlow",7,"tvKm",1779.64
"WorkFlow",7,"tvV",12.5404
"WorkFlow",7,"tvKa",1.17653
"WorkFlow",7,"K12",1.74982
"WorkFlow",7,"K21",3.04665
"WorkFlow",8,"-2LL",7409.41646
"WorkFlow",8,"CMultStdev",0.485745
"WorkFlow",8,"tvVmax",1495.3
"WorkFlow",8,"tvKm",1624.72
"WorkFlow",8,"tvV",13.8009
"WorkFlow",8,"tvKa",1.15917
"WorkFlow",8,"K12",1.87537
"WorkFlow",8,"K21",2.97259
"WorkFlow",9,"-2LL",7407.936
"WorkFlow",9,"CMultStdev",0.489595
"WorkFlow",9,"tvVmax",1547.75
"WorkFlow",9,"tvKm",1672.68
"WorkFlow",9,"tvV",13.6013
"WorkFlow",9,"tvKa",1.14697
"WorkFlow",9,"K12",1.87089
"WorkFlow",9,"K21",2.96458
"WorkFlow",10,"-2LL",7407.39358
"WorkFlow",10,"CMultStdev",0.494403
"WorkFlow",10,"tvVmax",1600.82
"WorkFlow",10,"tvKm",1749.23
"WorkFlow",10,"tvV",13.5173
"WorkFlow",10,"tvKa",1.10959
"WorkFlow",10,"K12",1.88415
