Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,CEps
WorkFlow,1,,,,,,,
WorkFlow,-0.0207399626626005,1,,,,,,
WorkFlow,0.0919161361303944,0.732502090069518,1,,,,,
WorkFlow,-0.0418763023264943,0.644271250430285,0.471993596170773,1,,,,
WorkFlow,-0.131687032606184,0.221686180561236,0.431033544512818,-0.00716237146553615,1,,,
WorkFlow,-0.0852165414961858,-0.456710655011332,-0.321777559897006,-0.727847334234328,-0.0546281111700391,1,,
WorkFlow,0.0841525972129746,-0.129441394442893,0.0273788878058848,-0.449623361980953,-0.358939786793323,0.520857607211139,1,
WorkFlow,-0.0198223195805137,0.746414665638668,0.919452352583306,0.404265778395529,0.56342402988634,-0.204055439769439,0.0244221255401268,1
