
 WorkFlow
Start 2024-05-14 09:21:02  Run : 14 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa    dVdWT
    1 7866.047   0.765586 1236.12 1213.64 16.8392 1.18321 1.098990
    2 7849.976   0.686158 1222.60 1234.42 16.6086 1.20143 1.088430
    3 7837.491   0.618089 1205.25 1253.66 15.9436 1.21428 1.060370
    4 7833.116   0.453816 1233.85 1382.08 13.6837 1.34692 1.071620
    5 7821.776   0.542988 1190.62 1404.10 14.6722 1.30656 1.046090
    6 7817.348   0.535139 1219.44 1458.21 14.1664 1.30759 1.011920
    7 7807.331   0.514276 1311.48 1671.57 13.2083 1.26843 0.898729
    8 7806.680   0.516737 1357.79 1748.97 13.2660 1.21679 0.875893
    9 7806.044   0.524230 1343.66 1704.94 13.4695 1.20238 0.906739
   10 7805.995   0.527751 1340.05 1697.69 13.4674 1.19588 0.944544
   11 7805.961   0.527032 1335.91 1684.16 13.4997 1.20640 0.958118
   12 7805.937   0.527339 1329.05 1664.97 13.5136 1.21038 0.980762
   13 7805.915   0.527937 1324.11 1636.54 13.5258 1.21422 1.001590
   14 7805.889   0.527936 1308.99 1592.89 13.5567 1.22007 1.015130
   15 7805.851   0.528070 1297.43 1538.08 13.5675 1.22387 1.010710
   16 7805.806   0.527219 1275.67 1458.61 13.5850 1.22487 0.974513
   17 7805.799   0.526922 1277.95 1466.92 13.5763 1.22132 0.961698
