Scenario,Label,nVmax,nKm,nV
WorkFlow,Omega
WorkFlow,nVmax,0.153742518468081,0.133872821785417,0.113354718738236
WorkFlow,nKm,0.133872821785417,0.167131385596942,0.131638308832135
WorkFlow,nV,0.113354718738236,0.131638308832135,0.265056733380191
WorkFlow,Correlation
WorkFlow,nVmax,1,0.835153711001322,0.561530289518424
WorkFlow,nKm,0.835153711001322,1,0.625437427423726
WorkFlow,nV,0.561530289518424,0.625437427423726,1
WorkFlow,Shrinkage,0.140565425040603,0.102341858114648,0.311614834287414
