"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",7524.97456
"WorkFlow",1,"CMultStdev",0.939866
"WorkFlow",1,"tvVmax",1204.29
"WorkFlow",1,"tvKm",1205.04
"WorkFlow",1,"tvV",16.1891
"WorkFlow",1,"tvKa",1.18128
"WorkFlow",1,"K12",2.15227
"WorkFlow",1,"K21",2.881
"WorkFlow",1,"dVdWT",1.10163
"WorkFlow",2,"-2LL",7507.49428
"WorkFlow",2,"CMultStdev",0.855132
"WorkFlow",2,"tvVmax",1208.58
"WorkFlow",2,"tvKm",1214.73
"WorkFlow",2,"tvV",16.5991
"WorkFlow",2,"tvKa",1.16036
"WorkFlow",2,"K12",2.20511
"WorkFlow",2,"K21",2.86024
"WorkFlow",2,"dVdWT",1.08773
"WorkFlow",3,"-2LL",7487.22832
"WorkFlow",3,"CMultStdev",0.757489
"WorkFlow",3,"tvVmax",1208.58
"WorkFlow",3,"tvKm",1231.81
"WorkFlow",3,"tvV",16.2708
"WorkFlow",3,"tvKa",1.1402
"WorkFlow",3,"K12",2.13795
"WorkFlow",3,"K21",2.95169
"WorkFlow",3,"dVdWT",1.05734
"WorkFlow",4,"-2LL",7470.09002
"WorkFlow",4,"CMultStdev",0.680572
"WorkFlow",4,"tvVmax",1207.36
"WorkFlow",4,"tvKm",1246.14
"WorkFlow",4,"tvV",15.827
"WorkFlow",4,"tvKa",1.12546
"WorkFlow",4,"K12",2.0582
"WorkFlow",4,"K21",3.04171
"WorkFlow",4,"dVdWT",1.02909
"WorkFlow",5,"-2LL",7449.89396
"WorkFlow",5,"CMultStdev",0.579661
"WorkFlow",5,"tvVmax",1203.98
"WorkFlow",5,"tvKm",1269.79
"WorkFlow",5,"tvV",14.9743
"WorkFlow",5,"tvKa",1.1069
"WorkFlow",5,"K12",1.92682
"WorkFlow",5,"K21",3.1805
"WorkFlow",5,"dVdWT",0.989337
"WorkFlow",6,"-2LL",7443.69556
"WorkFlow",6,"CMultStdev",0.514447
"WorkFlow",6,"tvVmax",1199.23
"WorkFlow",6,"tvKm",1301.38
"WorkFlow",6,"tvV",13.9703
"WorkFlow",6,"tvKa",1.09313
"WorkFlow",6,"K12",1.79685
"WorkFlow",6,"K21",3.3175
"WorkFlow",6,"dVdWT",0.959066
"WorkFlow",7,"-2LL",7441.43012
"WorkFlow",7,"CMultStdev",0.550691
"WorkFlow",7,"tvVmax",1197.66
"WorkFlow",7,"tvKm",1300.78
"WorkFlow",7,"tvV",14.1767
"WorkFlow",7,"tvKa",1.09574
"WorkFlow",7,"K12",1.82633
"WorkFlow",7,"K21",3.28084
"WorkFlow",7,"dVdWT",0.968824
"WorkFlow",8,"-2LL",7440.81016
"WorkFlow",8,"CMultStdev",0.553871
"WorkFlow",8,"tvVmax",1196.29
"WorkFlow",8,"tvKm",1314.14
"WorkFlow",8,"tvV",14.189
"WorkFlow",8,"tvKa",1.09088
"WorkFlow",8,"K12",1.82803
"WorkFlow",8,"K21",3.28629
"WorkFlow",8,"dVdWT",0.972124
"WorkFlow",9,"-2LL",7436.90122
"WorkFlow",9,"CMultStdev",0.554423
"WorkFlow",9,"tvVmax",1191.22
"WorkFlow",9,"tvKm",1403.04
"WorkFlow",9,"tvV",14.1579
"WorkFlow",9,"tvKa",1.05658
"WorkFlow",9,"K12",1.82453
"WorkFlow",9,"K21",3.33294
"WorkFlow",9,"dVdWT",0.975084
"WorkFlow",10,"-2LL",7429.28518
"WorkFlow",10,"CMultStdev",0.546613
"WorkFlow",10,"tvVmax",1179.65
"WorkFlow",10,"tvKm",1703.22
"WorkFlow",10,"tvV",13.9481
"WorkFlow",10,"tvKa",0.954195
"WorkFlow",10,"K12",1.80509
"WorkFlow",10,"K21",3.482
"WorkFlow",10,"dVdWT",0.981729
"WorkFlow",11,"-2LL",7427.30756
"WorkFlow",11,"CMultStdev",0.546314
"WorkFlow",11,"tvVmax",1194.22
"WorkFlow",11,"tvKm",1822.62
"WorkFlow",11,"tvV",13.8494
"WorkFlow",11,"tvKa",0.932284
"WorkFlow",11,"K12",1.80659
"WorkFlow",11,"K21",3.52192
"WorkFlow",11,"dVdWT",0.986971
"WorkFlow",12,"-2LL",7427.05228
"WorkFlow",12,"CMultStdev",0.548342
"WorkFlow",12,"tvVmax",1311.17
"WorkFlow",12,"tvKm",2279.86
"WorkFlow",12,"tvV",13.491
"WorkFlow",12,"tvKa",0.887384
"WorkFlow",12,"K12",1.84842
