
 WorkFlow
Start 2024-05-14 09:21:30  Run : 31 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa    dVdWT
    1 7784.115   0.712589 1330.05 1187.35 17.2148 1.16859 1.102360
    2 7769.589   0.640329 1340.43 1193.43 16.8597 1.17811 1.089180
    3 7752.577   0.540329 1354.03 1223.66 15.5947 1.19731 1.061280
    4 7745.427   0.465997 1401.06 1307.06 13.3579 1.22107 1.011220
    5 7737.780   0.489645 1409.05 1364.14 12.9904 1.20929 0.969765
    6 7724.617   0.519645 1389.33 1659.49 12.4704 1.12680 0.815392
    7 7721.269   0.521302 1512.60 1638.48 13.3808 1.12954 0.853392
    8 7720.495   0.507020 1491.46 1656.23 13.2396 1.12140 0.885124
    9 7720.459   0.496990 1492.27 1660.94 12.9507 1.13157 0.926217
   10 7720.360   0.497687 1479.83 1662.87 13.1286 1.13093 0.946515
   11 7720.292   0.501389 1479.00 1652.51 13.2049 1.13098 0.947356
   12 7720.289   0.502521 1482.68 1654.78 13.1910 1.12898 0.944928
   13 7720.280   0.501936 1481.92 1659.51 13.0873 1.13074 0.954648
   14 7720.231   0.500932 1480.94 1661.17 13.0813 1.13058 0.967677
   15 7720.097   0.499860 1481.93 1661.26 13.1024 1.13336 0.979348
   16 7719.983   0.497194 1483.01 1657.93 13.1311 1.13428 1.002840
   17 7719.902   0.500040 1483.86 1663.28 13.1588 1.12888 0.989070
   18 7719.884   0.501882 1485.47 1662.75 13.1522 1.12392 0.969846
   19 7719.837   0.501683 1490.58 1663.80 13.1112 1.12036 0.963386
   20 7719.831   0.500161 1502.19 1658.63 13.0108 1.11425 0.906474
   21 7719.644   0.500292 1497.74 1652.29 13.0376 1.11897 0.932185
   22 7719.576   0.502065 1491.73 1649.84 13.1061 1.12741 0.963750
   23 7719.509   0.502181 1492.17 1640.84 13.1128 1.12907 0.970548
   24 7719.414   0.501352 1487.47 1628.95 13.1163 1.12210 0.969268
   25 7719.370   0.500448 1480.94 1617.39 13.0704 1.11520 0.961035
   26 7719.331   0.501120 1474.79 1610.40 13.1052 1.11849 0.967318
   27 7719.259   0.502395 1458.88 1578.17 13.1473 1.12819 0.979726
   28 7719.155   0.502505 1452.17 1552.97 13.1745 1.12792 0.974761
   29 7719.020   0.502576 1430.05 1497.46 13.2272 1.13003 0.964325
   30 7718.842   0.501982 1413.72 1442.14 13.2416 1.12863 0.956572
   31 7718.647   0.500887 1384.47 1349.46 13.2600 1.12721 0.944559
   32 7718.414   0.501366 1360.06 1278.36 13.2410 1.13527 0.947292
   33 7718.187   0.501115 1317.56 1130.59 13.2578 1.15400 0.942328
   34 7718.134   0.501012 1320.50 1132.26 13.2661 1.15960 0.942503
   35 7718.092   0.501051 1327.13 1140.87 13.2757 1.16068 0.943809
   36 7718.065   0.501281 1326.95 1131.17 13.2792 1.15957 0.944060
   37 7718.036   0.501682 1324.93 1112.90 13.2809 1.15844 0.946149
   38 7718.008   0.502100 1328.36 1119.74 13.2710 1.15399 0.949843
   39 7717.983   0.502382 1326.79 1114.34 13.2593 1.15092 0.954407
   40 7717.974   0.502491 1326.39 1112.76 13.2544 1.15003 0.956446
   41 7717.950   0.502474 1330.73 1134.24 13.2406 1.14832 0.959460
   42 7717.940   0.502400 1331.57 1140.89 13.2360 1.14847 0.961647
   43 7717.925   0.502060 1331.55 1144.99 13.2427 1.15120 0.960339
   44 7717.919   0.501628 1329.71 1142.62 13.2568 1.15532 0.955801
   45 7717.917   0.501605 1328.91 1140.22 13.2621 1.15547 0.952230
   46 7717.914   0.501646 1327.92 1136.85 13.2704 1.15453 0.943292
