"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",7900.34996
"WorkFlow",1,"CMultStdev",0.936013
"WorkFlow",1,"tvVmax",1203.2
"WorkFlow",1,"tvKm",1209.62
"WorkFlow",1,"tvV",16.3966
"WorkFlow",1,"tvKa",1.17865
"WorkFlow",2,"-2LL",7873.24678
"WorkFlow",2,"CMultStdev",0.803327
"WorkFlow",2,"tvVmax",1207.13
"WorkFlow",2,"tvKm",1236
"WorkFlow",2,"tvV",17.3774
"WorkFlow",2,"tvKa",1.1455
"WorkFlow",3,"-2LL",7859.03766
"WorkFlow",3,"CMultStdev",0.755732
"WorkFlow",3,"tvVmax",1204.55
"WorkFlow",3,"tvKm",1252.59
"WorkFlow",3,"tvV",16.5845
"WorkFlow",3,"tvKa",1.14508
"WorkFlow",4,"-2LL",7841.71262
"WorkFlow",4,"CMultStdev",0.686898
"WorkFlow",4,"tvVmax",1200.75
"WorkFlow",4,"tvKm",1275.38
"WorkFlow",4,"tvV",15.5869
"WorkFlow",4,"tvKa",1.1413
"WorkFlow",5,"-2LL",7830.87498
"WorkFlow",5,"CMultStdev",0.637379
"WorkFlow",5,"tvVmax",1195.56
"WorkFlow",5,"tvKm",1294.83
"WorkFlow",5,"tvV",14.8473
"WorkFlow",5,"tvKa",1.13569
"WorkFlow",6,"-2LL",7820.61836
"WorkFlow",6,"CMultStdev",0.562001
"WorkFlow",6,"tvVmax",1186.08
"WorkFlow",6,"tvKm",1331.92
"WorkFlow",6,"tvV",13.6631
"WorkFlow",6,"tvKa",1.11948
"WorkFlow",7,"-2LL",7819.07306
"WorkFlow",7,"CMultStdev",0.53837
"WorkFlow",7,"tvVmax",1177.91
"WorkFlow",7,"tvKm",1364.54
"WorkFlow",7,"tvV",13.1516
"WorkFlow",7,"tvKa",1.09821
"WorkFlow",8,"-2LL",7816.9399
"WorkFlow",8,"CMultStdev",0.537153
"WorkFlow",8,"tvVmax",1173.06
"WorkFlow",8,"tvKm",1397.43
"WorkFlow",8,"tvV",13.0382
"WorkFlow",8,"tvKa",1.07263
"WorkFlow",9,"-2LL",7809.51938
"WorkFlow",9,"CMultStdev",0.538339
"WorkFlow",9,"tvVmax",1127.42
"WorkFlow",9,"tvKm",1816.64
"WorkFlow",9,"tvV",12.1721
"WorkFlow",9,"tvKa",0.785386
"WorkFlow",10,"-2LL",7803.36878
"WorkFlow",10,"CMultStdev",0.550906
"WorkFlow",10,"tvVmax",1161.8
"WorkFlow",10,"tvKm",1682.8
"WorkFlow",10,"tvV",12.5812
"WorkFlow",10,"tvKa",0.911862
"WorkFlow",11,"-2LL",7799.5766
"WorkFlow",11,"CMultStdev",0.549926
"WorkFlow",11,"tvVmax",1183.63
"WorkFlow",11,"tvKm",1749.9
"WorkFlow",11,"tvV",12.5642
"WorkFlow",11,"tvKa",0.909512
"WorkFlow",12,"-2LL",7796.02414
"WorkFlow",12,"CMultStdev",0.520954
"WorkFlow",12,"tvVmax",1435.84
"WorkFlow",12,"tvKm",2450.13
"WorkFlow",12,"tvV",11.8407
"WorkFlow",12,"tvKa",0.88542
"WorkFlow",13,"-2LL",7785.5504
"WorkFlow",13,"CMultStdev",0.53851
"WorkFlow",13,"tvVmax",1324.85
"WorkFlow",13,"tvKm",1979.45
"WorkFlow",13,"tvV",12.5414
"WorkFlow",13,"tvKa",0.957339
"WorkFlow",14,"-2LL",7780.63382
"WorkFlow",14,"CMultStdev",0.542371
"WorkFlow",14,"tvVmax",1395.28
"WorkFlow",14,"tvKm",2104.69
"WorkFlow",14,"tvV",12.4636
"WorkFlow",14,"tvKa",0.958768
"WorkFlow",15,"-2LL",7778.45088
"WorkFlow",15,"CMultStdev",0.539936
"WorkFlow",15,"tvVmax",1458.19
"WorkFlow",15,"tvKm",2216.5
"WorkFlow",15,"tvV",12.3157
"WorkFlow",15,"tvKa",0.950993
"WorkFlow",16,"-2LL",7778.31584
"WorkFlow",16,"CMultStdev",0.541556
"WorkFlow",16,"tvVmax",1474.77
"WorkFlow",16,"tvKm",2245.03
"WorkFlow",16,"tvV",12.2657
"WorkFlow",16,"tvKa",0.942368
"WorkFlow",17,"-2LL",7778.2681
"WorkFlow",17,"CMultStdev",0.541375
"WorkFlow",17,"tvVmax",1476.51
"WorkFlow",17,"tvKm",2251.57
"WorkFlow",17,"tvV",12.2024
"WorkFlow",17,"tvKa",0.929061
"WorkFlow",18,"-2LL",7778.21736
"WorkFlow",18,"CMultStdev",0.542391
"WorkFlow",18,"tvVmax",1483.76
"WorkFlow",18,"tvKm",2255
"WorkFlow",18,"tvV",12.1702
"WorkFlow",18,"tvKa",0.914704
"WorkFlow",19,"-2LL",7778.2071
"WorkFlow",19,"CMultStdev",0.540183
"WorkFlow",19,"tvVmax",1484.45
"WorkFlow",19,"tvKm",2251.07
"WorkFlow",19,"tvV",12.1639
"WorkFlow",19,"tvKa",0.915757
"WorkFlow",20,"-2LL",7778.1968
"WorkFlow",20,"CMultStdev",0.540587
"WorkFlow",20,"tvVmax",1484.44
"WorkFlow",20,"tvKm",2248.96
"WorkFlow",20,"tvV",12.1721
"WorkFlow",20,"tvKa",0.916854
"WorkFlow",21,"-2LL",7778.16966
"WorkFlow",21,"CMultStdev",0.542914
"WorkFlow",21,"tvVmax",1487.65
"WorkFlow",21,"tvKm",2246.1
"WorkFlow",21,"tvV",12.2078
"WorkFlow",21,"tvKa",0.92098
"WorkFlow",22,"-2LL",7778.1681
"WorkFlow",22,"CMultStdev",0.542694
"WorkFlow",22,"tvVmax",1488.14
"WorkFlow",22,"tvKm",2247.61
"WorkFlow",22,"tvV",12.2036
"WorkFlow",22,"tvKa",0.919461
"WorkFlow",23,"-2LL",7778.16692
"WorkFlow",23,"CMultStdev",0.542505
"WorkFlow",23,"tvVmax",1488.93
"WorkFlow",23,"tvKm",2249.79
"WorkFlow",23,"tvV",12.1992
"WorkFlow",23,"tvKa",0.917536
"WorkFlow",24,"-2LL",7778.16642
"WorkFlow",24,"CMultStdev",0.542126
"WorkFlow",24,"tvVmax",1489.37
"WorkFlow",24,"tvKm",2252.64
"WorkFlow",24,"tvV",12.1928
"WorkFlow",24,"tvKa",0.916058
"WorkFlow",25,"-2LL",7778.16364
"WorkFlow",25,"CMultStdev",0.542077
"WorkFlow",25,"tvVmax",1489.38
"WorkFlow",25,"tvKm",2252.97
"WorkFlow",25,"tvV",12.1919
"WorkFlow",25,"tvKa",0.915882
"WorkFlow",26,"-2LL",7778.16352
"WorkFlow",26,"CMultStdev",0.542067
"WorkFlow",26,"tvVmax",1489.37
"WorkFlow",26,"tvKm",2253.02
"WorkFlow",26,"tvV",12.1918
"WorkFlow",26,"tvKa",0.915865
"WorkFlow",27,"-2LL",7778.16312
"WorkFlow",27,"CMultStdev",0.542063
"WorkFlow",27,"tvVmax",1489.35
"WorkFlow",27,"tvKm",2253.01
"WorkFlow",27,"tvV",12.1916
"WorkFlow",27,"tvKa",0.915869
"WorkFlow",28,"-2LL",7778.15784
"WorkFlow",28,"CMultStdev",0.543902
"WorkFlow",28,"tvVmax",1493.57
"WorkFlow",28,"tvKm",2257.69
"WorkFlow",28,"tvV",12.242
"WorkFlow",28,"tvKa",0.926298
"WorkFlow",29,"-2LL",7778.15302
"WorkFlow",29,"CMultStdev",0.543614
"WorkFlow",29,"tvVmax",1493.46
"WorkFlow",29,"tvKm",2260.44
"WorkFlow",29,"tvV",12.2058
"WorkFlow",29,"tvKa",0.923702
"WorkFlow",30,"-2LL",7778.1428
"WorkFlow",30,"CMultStdev",0.54267
"WorkFlow",30,"tvVmax",1493.29
"WorkFlow",30,"tvKm",2264.99
"WorkFlow",30,"tvV",12.1956
"WorkFlow",30,"tvKa",0.918291
"WorkFlow",31,"-2LL",7778.13104
"WorkFlow",31,"CMultStdev",0.54275
"WorkFlow",31,"tvVmax",1495.79
"WorkFlow",31,"tvKm",2273.22
"WorkFlow",31,"tvV",12.2063
"WorkFlow",31,"tvKa",0.919017
"WorkFlow",32,"-2LL",7778.05312
"WorkFlow",32,"CMultStdev",0.543208
"WorkFlow",32,"tvVmax",1519.02
"WorkFlow",32,"tvKm",2355.78
"WorkFlow",32,"tvV",12.24
"WorkFlow",32,"tvKa",0.920836
"WorkFlow",33,"-2LL",7777.97902
"WorkFlow",33,"CMultStdev",0.543357
"WorkFlow",33,"tvVmax",1548.14
"WorkFlow",33,"tvKm",2461.77
"WorkFlow",33,"tvV",12.233
"WorkFlow",33,"tvKa",0.919886
"WorkFlow",34,"-2LL",7777.87488
"WorkFlow",34,"CMultStdev",0.543657
"WorkFlow",34,"tvVmax",1610.62
"WorkFlow",34,"tvKm",2684.06
"WorkFlow",34,"tvV",12.1728
"WorkFlow",34,"tvKa",0.913585
"WorkFlow",35,"-2LL",7777.84034
"WorkFlow",35,"CMultStdev",0.543815
"WorkFlow",35,"tvVmax",1626.26
"WorkFlow",35,"tvKm",2766.63
"WorkFlow",35,"tvV",12.1394
"WorkFlow",35,"tvKa",0.911627
"WorkFlow",36,"-2LL",7777.82874
"WorkFlow",36,"CMultStdev",0.542846
"WorkFlow",36,"tvVmax",1616.49
"WorkFlow",36,"tvKm",2764.73
"WorkFlow",36,"tvV",12.1248
"WorkFlow",36,"tvKa",0.911824
"WorkFlow",37,"-2LL",7777.822
"WorkFlow",37,"CMultStdev",0.542516
"WorkFlow",37,"tvVmax",1617.11
"WorkFlow",37,"tvKm",2761.5
"WorkFlow",37,"tvV",12.1197
"WorkFlow",37,"tvKa",0.911046
"WorkFlow",38,"-2LL",7777.80998
"WorkFlow",38,"CMultStdev",0.542586
"WorkFlow",38,"tvVmax",1616.95
"WorkFlow",38,"tvKm",2742.49
"WorkFlow",38,"tvV",12.1096
"WorkFlow",38,"tvKa",0.908292
"WorkFlow",39,"-2LL",7777.79836
"WorkFlow",39,"CMultStdev",0.54248
"WorkFlow",39,"tvVmax",1628.44
"WorkFlow",39,"tvKm",2773.74
"WorkFlow",39,"tvV",12.0937
"WorkFlow",39,"tvKa",0.907025
"WorkFlow",40,"-2LL",7777.78812
"WorkFlow",40,"CMultStdev",0.542377
"WorkFlow",40,"tvVmax",1665.43
"WorkFlow",40,"tvKm",2883.06
"WorkFlow",40,"tvV",12.049
"WorkFlow",40,"tvKa",0.903552
"WorkFlow",41,"-2LL",7777.76766
"WorkFlow",41,"CMultStdev",0.542566
"WorkFlow",41,"tvVmax",1670.75
"WorkFlow",41,"tvKm",2912.66
"WorkFlow",41,"tvV",12.0467
"WorkFlow",41,"tvKa",0.903503
"WorkFlow",42,"-2LL",7777.76482
"WorkFlow",42,"CMultStdev",0.542936
"WorkFlow",42,"tvVmax",1648.76
"WorkFlow",42,"tvKm",2912.17
"WorkFlow",42,"tvV",12.0878
"WorkFlow",42,"tvKa",0.907701
"WorkFlow",43,"-2LL",7777.7339
"WorkFlow",43,"CMultStdev",0.54284
"WorkFlow",43,"tvVmax",1667.69
"WorkFlow",43,"tvKm",2937.46
"WorkFlow",43,"tvV",12.0732
"WorkFlow",43,"tvKa",0.905326
"WorkFlow",44,"-2LL",7777.7339
"WorkFlow",44,"CMultStdev",0.54284
"WorkFlow",44,"tvVmax",1667.69
"WorkFlow",44,"tvKm",2937.46
"WorkFlow",44,"tvV",12.0732
"WorkFlow",44,"tvKa",0.905326
"WorkFlow",45,"-2LL",7777.73374
"WorkFlow",45,"CMultStdev",0.542815
"WorkFlow",45,"tvVmax",1667.55
"WorkFlow",45,"tvKm",2937.46
"WorkFlow",45,"tvV",12.072
"WorkFlow",45,"tvKa",0.905284
"WorkFlow",46,"-2LL",7777.733
"WorkFlow",46,"CMultStdev",0.542809
"WorkFlow",46,"tvVmax",1667.52
"WorkFlow",46,"tvKm",2937.46
"WorkFlow",46,"tvV",12.0718
"WorkFlow",46,"tvKa",0.905275
"WorkFlow",47,"-2LL",7777.73204
"WorkFlow",47,"CMultStdev",0.542804
"WorkFlow",47,"tvVmax",1667.5
"WorkFlow",47,"tvKm",2937.46
"WorkFlow",47,"tvV",12.0716
"WorkFlow",47,"tvKa",0.90527
