
 WorkFlow
Start 2024-05-14 09:59:23  Run : 15 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa
    1 7900.350   0.936013 1203.20 1209.62 16.3966 1.178650
    2 7873.247   0.803327 1207.13 1236.00 17.3774 1.145500
    3 7859.038   0.755732 1204.55 1252.59 16.5845 1.145080
    4 7841.713   0.686898 1200.75 1275.38 15.5869 1.141300
    5 7830.875   0.637379 1195.56 1294.83 14.8473 1.135690
    6 7820.618   0.562001 1186.08 1331.92 13.6631 1.119480
    7 7819.073   0.538370 1177.91 1364.54 13.1516 1.098210
    8 7816.940   0.537153 1173.06 1397.43 13.0382 1.072630
    9 7809.519   0.538339 1127.42 1816.64 12.1721 0.785386
   10 7803.369   0.550906 1161.80 1682.80 12.5812 0.911862
   11 7799.577   0.549926 1183.63 1749.90 12.5642 0.909512
   12 7796.024   0.520954 1435.84 2450.13 11.8407 0.885420
   13 7785.550   0.538510 1324.85 1979.45 12.5414 0.957339
   14 7780.634   0.542371 1395.28 2104.69 12.4636 0.958768
   15 7778.451   0.539936 1458.19 2216.50 12.3157 0.950993
   16 7778.316   0.541556 1474.77 2245.03 12.2657 0.942368
   17 7778.268   0.541375 1476.51 2251.57 12.2024 0.929061
   18 7778.217   0.542391 1483.76 2255.00 12.1702 0.914704
   19 7778.207   0.540183 1484.45 2251.07 12.1639 0.915757
   20 7778.197   0.540587 1484.44 2248.96 12.1721 0.916854
   21 7778.170   0.542914 1487.65 2246.10 12.2078 0.920980
   22 7778.168   0.542694 1488.14 2247.61 12.2036 0.919461
   23 7778.167   0.542505 1488.93 2249.79 12.1992 0.917536
   24 7778.166   0.542126 1489.37 2252.64 12.1928 0.916058
   25 7778.164   0.542077 1489.38 2252.97 12.1919 0.915882
   26 7778.164   0.542067 1489.37 2253.02 12.1918 0.915865
   27 7778.163   0.542063 1489.35 2253.01 12.1916 0.915869
   28 7778.158   0.543902 1493.57 2257.69 12.2420 0.926298
   29 7778.153   0.543614 1493.46 2260.44 12.2058 0.923702
   30 7778.143   0.542670 1493.29 2264.99 12.1956 0.918291
   31 7778.131   0.542750 1495.79 2273.22 12.2063 0.919017
   32 7778.053   0.543208 1519.02 2355.78 12.2400 0.920836
   33 7777.979   0.543357 1548.14 2461.77 12.2330 0.919886
   34 7777.875   0.543657 1610.62 2684.06 12.1728 0.913585
   35 7777.840   0.543815 1626.26 2766.63 12.1394 0.911627
   36 7777.829   0.542846 1616.49 2764.73 12.1248 0.911824
   37 7777.822   0.542516 1617.11 2761.50 12.1197 0.911046
   38 7777.810   0.542586 1616.95 2742.49 12.1096 0.908292
   39 7777.798   0.542480 1628.44 2773.74 12.0937 0.907025
   40 7777.788   0.542377 1665.43 2883.06 12.0490 0.903552
   41 7777.768   0.542566 1670.75 2912.66 12.0467 0.903503
   42 7777.765   0.542936 1648.76 2912.17 12.0878 0.907701
   43 7777.734   0.542840 1667.69 2937.46 12.0732 0.905326
   44 7777.734   0.542840 1667.69 2937.46 12.0732 0.905326
   45 7777.734   0.542815 1667.55 2937.46 12.0720 0.905284
   46 7777.733   0.542809 1667.52 2937.46 12.0718 0.905275
   47 7777.732   0.542804 1667.50 2937.46 12.0716 0.905270
   48 7777.732   0.542800 1667.48 2937.46 12.0715 0.905267
   49 7777.732   0.542800 1667.48 2937.46 12.0715 0.905267
