
 WorkFlow
Start 2024-05-14 09:20:28  Run : 21 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa    dVdWT
    1 7875.739   0.935891 1203.78 1209.78 16.3934 1.178510 1.105660
    2 7848.057   0.798619 1207.87 1237.78 17.4060 1.143900 1.076340
    3 7833.297   0.754081 1205.20 1254.92 16.5783 1.144670 1.047480
    4 7815.570   0.687273 1201.17 1278.46 15.5409 1.142270 1.007830
    5 7802.575   0.625660 1195.72 1305.03 14.6108 1.136300 0.975606
    6 7794.865   0.557988 1188.52 1343.99 13.5722 1.121460 0.940607
    7 7793.428   0.542491 1183.19 1374.14 13.2823 1.102070 0.932662
    8 7789.361   0.532483 1178.58 1454.05 12.9955 1.048590 0.934039
    9 7782.937   0.512351 1159.42 1793.94 12.1097 0.840094 0.909591
   10 7777.999   0.534235 1176.18 1764.04 12.4169 0.888491 0.929503
   11 7771.131   0.559164 1219.51 1874.97 12.6275 0.905253 0.961986
   12 7761.681   0.602626 1397.97 2297.59 12.8724 0.937556 1.062980
   13 7757.286   0.577575 1422.16 2240.80 12.7847 0.966933 1.048800
   14 7754.423   0.541017 1522.23 2325.80 12.3878 0.981243 1.043620
   15 7753.926   0.537975 1503.66 2321.17 12.2367 0.946802 1.027440
   16 7753.781   0.540191 1513.69 2344.11 12.1951 0.923983 1.023560
   17 7753.769   0.540188 1521.76 2351.66 12.1743 0.915521 1.021480
   18 7753.760   0.539815 1521.08 2348.74 12.1662 0.913371 1.018310
   19 7753.743   0.540497 1521.16 2347.41 12.1738 0.914143 1.018450
   20 7753.712   0.544179 1526.20 2351.19 12.1978 0.915630 1.019250
   21 7753.710   0.544977 1528.11 2353.06 12.2047 0.916210 1.019570
   22 7753.710   0.545664 1530.19 2355.49 12.2113 0.916469 1.019890
   23 7753.709   0.545849 1530.75 2356.30 12.2130 0.916518 1.020020
   24 7753.695   0.544662 1532.68 2359.12 12.2068 0.917583 1.020180
   25 7753.677   0.541103 1539.56 2372.15 12.1881 0.919736 1.020810
   26 7753.674   0.540466 1539.04 2379.59 12.1789 0.916496 1.019590
   27 7753.672   0.540642 1536.90 2382.05 12.1700 0.914081 1.019410
   28 7753.671   0.540637 1536.88 2382.11 12.1698 0.914060 1.019400
   29 7753.668   0.541124 1536.86 2382.97 12.1961 0.915168 1.020860
   30 7753.656   0.542948 1536.88 2385.53 12.2114 0.919327 1.024510
   31 7753.656   0.542941 1537.40 2386.51 12.2112 0.919529 1.024540
   32 7753.611   0.542399 1566.56 2448.52 12.2151 0.927978 1.025420
   33 7753.589   0.542380 1561.33 2443.17 12.2123 0.924828 1.024270
   34 7753.557   0.542169 1556.94 2450.52 12.2042 0.919531 1.022330
   35 7753.533   0.542456 1559.42 2476.02 12.2028 0.917217 1.022130
   36 7753.521   0.542839 1568.69 2522.86 12.2003 0.916025 1.022970
   37 7753.520   0.542816 1570.82 2529.24 12.2005 0.916928 1.023890
   38 7753.515   0.542459 1576.13 2546.43 12.1967 0.918972 1.026720
   39 7753.506   0.542028 1580.99 2563.44 12.1928 0.921186 1.030300
   40 7753.490   0.541033 1591.63 2605.33 12.1787 0.923422 1.036360
   41 7753.463   0.540146 1605.44 2661.89 12.1590 0.923948 1.042460
   42 7753.419   0.539327 1630.98 2759.20 12.1215 0.920400 1.048570
   43 7753.377   0.539968 1657.29 2847.87 12.0912 0.912759 1.049190
   44 7753.368   0.541734 1684.81 2924.99 12.0698 0.903743 1.046730
   45 7753.360   0.542733 1674.65 2911.78 12.0866 0.903906 1.042840
   46 7753.360   0.542553 1666.17 2892.69 12.0945 0.905389 1.040810
   47 7753.356   0.541652 1660.10 2871.94 12.0954 0.907357 1.038910
   48 7753.356   0.541469 1657.84 2863.25 12.0970 0.907961 1.038370
   49 7753.355   0.541426 1656.97 2859.62 12.0977 0.908170 1.038180
   50 7753.355   0.541426 1656.97 2859.62 12.0977 0.908170 1.038180
   51 7753.355   0.541771 1659.40 2859.41 12.0935 0.907186 1.038670
   52 7753.355   0.541771 1659.40 2859.41 12.0935 0.907186 1.038670
   53 7753.353   0.541732 1659.34 2859.41 12.0921 0.907119 1.038600
   54 7753.353   0.541728 1659.33 2859.41 12.0920 0.907116 1.038580
   55 7753.353   0.541728 1659.33 2859.41 12.0920 0.907116 1.038580
