Scenario,ID,nVmax,nKm,nV,nKa,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage,nKa_shrinkage
WorkFlow,29,0.000615024955522553,-0.322311787376569,-0.00932776669619397,-0.340692623127819,0.049679,0.241896,0.993438,0.409842
WorkFlow,30,-0.0672454294398421,0.264884601440115,0.00367962595801662,0.0461016744241631,0.344991,0.254093,0.992958,0.497321
WorkFlow,31,0.0629220833565876,-0.0631701185805322,-0.000992430171145306,0.584508947610365,0.295816,0.256892,0.993146,0.576488
WorkFlow,32,-0.223881429118433,0.380711437220534,0.0078186461138183,-0.0763363421470861,0.463755,0.265928,0.995116,0.45482
WorkFlow,33,-0.058419124852652,0.476073318283275,0.00309208621376191,0.0544585708207034,0.358921,0.268816,0.991206,0.470658
WorkFlow,34,-0.332717501378374,-0.262133243685591,0.00832960492764548,0.685684000995502,0.204658,0.228027,0.996128,0.603439
WorkFlow,35,0.611836688129917,0.350976631665707,-0.0287320429473569,-0.117897675534623,0.10554,0.178107,0.963448,0.417957
WorkFlow,36,0.233263360637311,0.146611008308293,-0.0231562204744392,-0.586743793238998,0.068627,0.235318,0.983408,0.393106
WorkFlow,37,0.22395675569521,-0.06412005056027,-0.00912511906999954,0.161782264888666,0.057071,0.222998,0.989013,0.475907
WorkFlow,38,-0.177563343597225,-0.233478349230383,0.00522914882914787,0.0811273325132131,0.125915,0.238319,0.9946,0.491973
WorkFlow,39,0.107014372163989,0.138751260106605,-0.00306080898117513,-0.300427426505512,0.184701,0.263569,0.987697,0.429509
WorkFlow,40,0.235457798484744,-0.548588415422501,-0.00208467731074367,-0.419516232392926,0.051535,0.215683,0.98606,0.398691
WorkFlow,41,-0.21148265478893,0.104774956452692,0.00654408943325357,0.700463350576729,0.198438,0.224993,0.993252,0.610593
WorkFlow,42,0.382885878421909,-0.323970900553662,-0.0319900532247639,0.399288734259369,0.058251,0.155958,0.970098,0.511377
WorkFlow,43,0.230259832607025,0.560271312814104,-0.008022766111622,0.278796295276583,0.353489,0.263084,0.989288,0.54741
WorkFlow,44,0.119760225732365,-0.383274204949094,-0.00607550944573131,0.107413943926988,0.054185,0.208588,0.98618,0.480572
WorkFlow,45,0.262419074514317,-0.349847833631444,-0.00651998467476087,0.217312396930948,0.041719,0.196929,0.98619,0.469507
WorkFlow,46,-0.330912108997067,-0.210575256998048,0.00487839179252021,0.776492228413774,0.156063,0.224282,0.99634,0.614653
WorkFlow,47,0.118982339356308,-0.104625416792147,-0.000730999139599927,1.0932943583983,0.134778,0.226394,0.992624,0.672004
WorkFlow,48,0.00532429821335296,-0.0246770325870903,0.00184079772914504,0.0974080492527161,0.206962,0.252416,0.992168,0.485231
WorkFlow,49,0.380595875092622,0.536968927464905,-0.0139699336862769,-0.411903929627387,0.102541,0.261766,0.980307,0.423255
WorkFlow,50,0.388877192307813,0.298351602364039,-0.0144236210264027,0.109820320133101,0.108065,0.24044,0.980209,0.475777
WorkFlow,51,0.144489423137226,0.245709631550418,-0.0031141920820708,-0.636415798901709,0.103616,0.253969,0.983101,0.392906
WorkFlow,52,-0.12717937726562,0.525254914953618,0.0044515761477719,-0.4105613236693,0.483942,0.278726,0.995285,0.406045
WorkFlow,53,0.217784101913137,-0.0799131812046829,-0.00659170724570569,-0.390961811576675,0.100852,0.266289,0.990687,0.435208
WorkFlow,54,-0.206400590004846,-0.422245034102547,0.00421521632255954,-0.614721216312364,0.089654,0.274277,0.997144,0.387161
WorkFlow,55,0.115741150031374,-0.0104195898599906,-0.0052015918433108,-0.556399287623424,0.133403,0.27159,0.986178,0.403261
WorkFlow,56,0.296468434549139,-0.830896602198407,-0.00409646092744404,0.442915766433871,0.05322,0.191214,0.980957,0.48331
WorkFlow,57,0.0376757022250535,0.0381831387170044,-0.00172301114920962,-0.162646642335674,0.125228,0.256553,0.992685,0.428783
WorkFlow,58,-0.0561119752759155,-0.568061790558198,0.0023792484951013,0.142529057574193,0.025909,0.214717,0.9944,0.480296
WorkFlow,59,-0.134271987923277,-0.190826244151359,0.00443170919332902,-0.047679875232566,0.19331,0.246851,0.994011,0.458088
WorkFlow,60,-0.142809158803223,-0.239795579242012,0.00147816633729076,-0.191510717274326,0.127214,0.258349,0.994906,0.458351
