
 WorkFlow
Start 2024-05-14 09:22:16  Run : 40 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa   dVdWT
    1 7735.171   0.636150 1325.89 1185.94 18.4820 1.063920 1.16088
    2 7720.171   0.553954 1323.91 1203.88 17.9162 1.019880 1.17360
    3 7717.202   0.385674 1276.74 1275.99 13.7937 0.778165 1.14263
    4 7697.369   0.494995 1305.25 1297.53 14.2840 0.814523 1.18970
    5 7692.489   0.484762 1321.62 1352.84 13.2916 0.800546 1.22527
    6 7681.795   0.442609 1385.53 1593.82 11.3036 0.742954 1.33922
    7 7673.736   0.449971 1429.09 1696.33 12.5564 0.771453 1.42512
    8 7672.695   0.468556 1484.45 1767.57 12.9639 0.768097 1.42888
    9 7672.307   0.477789 1460.26 1747.69 13.1992 0.771976 1.36053
   10 7672.227   0.473834 1471.93 1753.82 13.0906 0.772872 1.34804
   11 7672.214   0.471615 1471.35 1759.26 13.0279 0.770016 1.34034
   12 7672.182   0.471124 1477.11 1768.57 13.0042 0.772449 1.32534
   13 7672.141   0.469621 1480.66 1808.28 13.0148 0.773591 1.26800
   14 7672.046   0.471267 1481.09 1800.78 13.0450 0.765530 1.28549
   15 7671.970   0.473907 1483.38 1807.65 13.1250 0.754554 1.32777
   16 7671.938   0.472122 1480.15 1802.84 13.0580 0.761907 1.33090
   17 7671.906   0.470658 1481.61 1802.68 12.9946 0.764776 1.33762
   18 7671.866   0.468257 1484.41 1809.46 12.8996 0.772667 1.35786
   19 7671.856   0.469199 1486.31 1807.98 12.9406 0.770828 1.34870
   20 7671.804   0.471274 1485.30 1804.88 13.0163 0.767982 1.34298
   21 7671.800   0.472604 1482.62 1801.56 13.0592 0.767388 1.34888
   22 7671.800   0.472371 1481.87 1800.98 13.0332 0.768900 1.36347
   23 7671.783   0.472244 1481.69 1800.29 13.0343 0.766438 1.36786
   24 7671.725   0.472052 1480.30 1799.25 13.0406 0.761439 1.37373
   25 7671.694   0.472059 1479.12 1800.34 13.0433 0.760722 1.37276
   26 7671.650   0.472282 1477.99 1802.79 13.0507 0.761763 1.37155
   27 7671.556   0.472549 1476.41 1806.97 13.0553 0.764743 1.37573
   28 7671.442   0.472634 1473.87 1806.63 13.0427 0.767511 1.39806
   29 7671.352   0.472604 1473.08 1798.04 13.0192 0.767190 1.42022
   30 7671.161   0.472677 1470.79 1763.73 12.9730 0.764611 1.46566
   31 7670.850   0.473764 1460.01 1664.04 12.8887 0.759853 1.55598
   32 7670.600   0.475370 1449.65 1585.96 12.8495 0.759787 1.55925
   33 7670.377   0.478288 1422.78 1439.70 12.8441 0.762859 1.47843
   34 7670.049   0.477251 1425.02 1493.08 12.9226 0.766152 1.37492
   35 7669.866   0.475631 1411.04 1485.88 12.9896 0.765804 1.37754
   36 7669.716   0.473562 1380.18 1429.10 13.0502 0.766088 1.35718
   37 7669.680   0.473161 1375.10 1423.55 13.0441 0.765256 1.36802
   38 7669.654   0.473045 1373.46 1420.30 13.0275 0.764721 1.38286
   39 7669.629   0.473128 1369.46 1405.83 13.0261 0.764937 1.38885
   40 7669.595   0.473145 1365.29 1390.52 13.0326 0.766313 1.39497
   41 7669.581   0.473318 1363.00 1381.79 13.0602 0.767513 1.38380
