StartTime,EndTime,Model_num,this_comp,this_eta,this_vwt,this_gamma,n_theta,n_omega,Est_time,Cov_time,Success,Covar,Iterations,Algorithm,Good_inits,log_path,control_file,data_set,nparms,messages,crash,NPDECmaxMean,NPDECmaxSD,NPDECminMean,NPDECminSD,SimRunTime
17:17:15,17:19:05,1,0,0,0,0,4,1,25.46,22.43,TRUE,TRUE,37,NONMEM,TRUE,c:/git/nlme-performance-demo/ode-michaelis-Menten/NONMEM/1/run1.xml,run1.mod ,../../data/sim_0_0_0_0.csv,5,37-38,FALSE,-0.000735884685592556,0.977354936798161,0.00377491911854094,0.979623364776091,28.188
17:19:05,17:20:41,2,0,1,0,0,4,2,29.52,26.01,TRUE,TRUE,21,NONMEM,TRUE,c:/git/nlme-performance-demo/ode-michaelis-Menten/NONMEM/2/run2.xml,run2.mod ,../../data/sim_0_1_0_0.csv,6,37,FALSE,-0.00216392016392342,0.979627308728276,-0.0114063551369231,0.97552135663894,20.75
